ano,hortícolas_frescos,plantas_e_flores,batatas_(inclui_sementes),frutos_frescos,citrinos,frutos_subtropicais,uvas,vinho,outros_produtos_vegetais
1995,13.01,3.44,9.96,0.86,0.24,11.4,1.0,7.12,11.22
1996,10.95,3.42,9.99,0.92,0.26,12.32,1.07,7.89,11.8
1997,12.01,3.46,10.0,0.99,0.24,10.12,1.41,7.18,11.01
1998,12.23,5.79,9.97,1.33,0.19,9.62,2.07,6.99,7.47
1999,10.57,5.86,21.44,2.48,0.49,5.89,1.94,10.85,4.81
2000,8.28,6.21,21.32,2.09,0.34,6.45,2.27,11.5,6.23
2001,11.86,6.54,21.44,2.26,0.5,5.99,1.37,8.48,5.67
2002,12.72,6.72,21.46,2.14,0.34,6.38,1.15,7.81,5.71
2003,16.92,6.31,17.63,2.72,0.44,5.47,0.85,7.26,6.5
2004,17.6,8.17,16.5,2.54,0.41,7.16,0.6,5.45,20.45
2005,35.93,10.24,14.17,2.56,0.83,6.1,0.75,6.19,14.78
2006,35.42,8.84,17.85,2.55,0.79,5.13,0.87,10.08,14.7
2007,42.4,6.63,21.56,2.52,0.9,6.91,1.07,8.07,6.68
2008,41.98,9.28,26.98,3.26,0.93,8.51,1.25,7.74,7.29
2009,45.86,9.29,23.16,3.22,0.85,8.05,1.07,6.13,8.73
2010,62.08,10.29,30.49,2.67,0.86,8.35,0.78,5.17,11.55
2011,55.06,8.27,19.31,2.84,0.96,8.69,0.82,6.34,11.62
2012,53.4,6.87,19.66,2.8,1.19,8.79,0.95,6.22,17.89
2013,38.58,5.74,21.8,3.81,1.25,9.18,0.69,6.34,12.73
2014,38.67,4.85,10.48,2.56,1.25,10.85,0.73,5.93,13.61
2015,38.43,6.11,15.75,3.48,1.43,11.42,0.81,7.24,10.5
2016,45.87,6.75,14.1,3.49,1.13,12.9,0.67,5.3,9.69
2017,39.37,6.53,14.28,4.31,1.03,11.98,0.85,7.34,8.8
2018,39.79,6.42,15.11,4.11,1.14,10.85,0.79,6.18,10.74
2019,44.56,5.36,14.93,4.25,1.61,18.49,1.26,8.38,8.87
2020,33.94,4.82,12.26,5.67,1.62,21.21,1.45,6.66,6.34
2021,35.01,5.26,13.04,5.71,1.61,19.32,1.6,7.76,7.73
2022,40.09,5.78,13.83,6.03,1.66,19.23,1.67,9.14,10.57
2023,39.32,6.59,16.15,6.24,2.0,21.8,1.57,9.03,12.48
